Date,Open,High,Low,Close,Volume,Market Cap
"Jan 29, 2016",380.108001709,384.378997803,365.45199585,379.473999023,86125296,5745985821
"Jan 28, 2016",395.145996094,395.50201416,379.734985352,380.289001465,59247900,5756710303
"Jan 27, 2016",392.444000244,396.842987061,391.782012939,394.971984863,47424400,5977545745
"Jan 26, 2016",392.00201416,397.765991211,390.575012207,392.153015137,58147000,5933372928
"Jan 25, 2016",402.316986084,402.316986084,388.553985596,391.726013184,59062400,5925345408
"Jan 24, 2016",388.101989746,405.484985352,387.510009766,402.971008301,54824800,6093787908
"Jan 23, 2016",382.433990479,394.542999268,381.980987549,387.490997314,56247400,5858059876
"Jan 22, 2016",409.75100708,410.410003662,375.282012939,382.492004395,91546600,5780764155
"Jan 21, 2016",419.631988525,422.87701416,406.299987793,410.261993408,68338000,6198658815
"Jan 20, 2016",379.739990234,425.266998291,376.598999023,420.230010986,121720000,6347836794
"Jan 19, 2016",387.026000977,387.730010986,378.971984863,380.148986816,46819800,5740934168
"Jan 18, 2016",381.733001709,388.104003906,376.665008545,387.167999268,54403900,5845656048
"Jan 17, 2016",387.152008057,390.964996338,380.092010498,382.29901123,45319600,5770478451
"Jan 16, 2016",365.072998047,390.557006836,354.914001465,387.536010742,120352000,5848063566
"Jan 15, 2016",430.255004883,430.255004883,364.330993652,364.330993652,153351008,5496598039
"Jan 14, 2016",432.287994385,433.324005127,427.845001221,430.305999756,43945500,6490638885
"Jan 13, 2016",434.665008545,435.186004639,424.442993164,432.371002197,173888000,6520360056
"Jan 12, 2016",448.182006836,448.182006836,435.690002441,435.690002441,115607000,6568800100
"Jan 11, 2016",448.697998047,450.661987305,443.855010986,448.428009033,40450000,6758931030
"Jan 10, 2016",448.238006592,448.308990479,440.351013184,447.990997314,35995900,6750440386
"Jan 09, 2016",453.382995605,454.640014648,446.889007568,447.610992432,32278000,6742767343
"Jan 08, 2016",457.537994385,462.933990479,447.937988281,453.230010986,56993000,6825700454
"Jan 07, 2016",430.010986328,458.765991211,429.07699585,458.04800415,87562200,6896279078
"Jan 06, 2016",431.855987549,431.855987549,426.341003418,429.105010986,34042500,6458942098
"Jan 05, 2016",433.069000244,434.182006836,429.675994873,431.959991455,34522600,6500393256
"Jan 04, 2016",430.061004639,434.516998291,429.084014893,433.091003418,38477500,6515713340
"Jan 03, 2016",433.57800293,433.743011475,424.705993652,430.010986328,39633800,6467429942
"Jan 02, 2016",434.622009277,436.062011719,431.869995117,433.437988281,30096600,6517390487
